,Source airport ID,windowNumber,window,count
0,3682,0,[0-17000],344
1,507,0,[0-17000],299
2,1382,0,[0-17000],286
3,3670,0,[0-17000],210
4,3797,0,[0-17000],198
5,3830,0,[0-17000],176
6,3576,0,[0-17000],170
7,3364,0,[0-17000],163
8,3484,0,[0-17000],156
9,1555,0,[0-17000],155
10,3682,17000,[17000-34000],265
11,2188,17000,[17000-34000],207
12,1218,17000,[17000-34000],166
13,3370,17000,[17000-34000],163
14,599,17000,[17000-34000],161
15,3077,17000,[17000-34000],153
16,1229,17000,[17000-34000],144
17,3645,17000,[17000-34000],142
18,3364,17000,[17000-34000],139
19,3858,17000,[17000-34000],137
20,340,34000,[34000-51000],254
21,3930,34000,[34000-51000],246
22,3316,34000,[34000-51000],206
23,580,34000,[34000-51000],203
24,346,34000,[34000-51000],185
25,3682,34000,[34000-51000],179
26,3406,34000,[34000-51000],165
27,1613,34000,[34000-51000],158
28,2279,34000,[34000-51000],156
29,302,34000,[34000-51000],141
30,3830,51000,[51000-68000],289
31,1701,51000,[51000-68000],243
32,502,51000,[51000-68000],224
33,3751,51000,[51000-68000],216
34,3670,51000,[51000-68000],201
35,3484,51000,[51000-68000],194
36,3550,51000,[51000-68000],178
37,3494,51000,[51000-68000],164
38,478,51000,[51000-68000],155
39,3576,51000,[51000-68000],147
