,Source airport ID,windowNumber,window,count
0,3682,0,[0-13533],339
1,1382,0,[0-13533],267
2,3670,0,[0-13533],200
3,507,0,[0-13533],162
4,3830,0,[0-13533],160
5,3576,0,[0-13533],159
6,3484,0,[0-13533],147
7,3093,0,[0-13533],142
8,3876,0,[0-13533],140
9,1824,0,[0-13533],140
10,3682,6766,[6766-20299],528
11,1382,6766,[6766-20299],274
12,3364,6766,[6766-20299],217
13,507,6766,[6766-20299],202
14,3370,6766,[6766-20299],175
15,193,6766,[6766-20299],150
16,2276,6766,[6766-20299],149
17,1555,6766,[6766-20299],141
18,3797,6766,[6766-20299],138
19,3077,6766,[6766-20299],129
20,3682,13532,[13532-27065],267
21,3364,13532,[13532-27065],219
22,3797,13532,[13532-27065],187
23,3370,13532,[13532-27065],179
24,599,13532,[13532-27065],165
25,507,13532,[13532-27065],163
26,2188,13532,[13532-27065],154
27,2276,13532,[13532-27065],145
28,3645,13532,[13532-27065],142
29,3858,13532,[13532-27065],137
30,2188,20298,[20298-33831],203
31,1218,20298,[20298-33831],164
32,599,20298,[20298-33831],161
33,1229,20298,[20298-33831],141
34,3645,20298,[20298-33831],140
35,3858,20298,[20298-33831],137
36,548,20298,[20298-33831],126
37,3797,20298,[20298-33831],114
38,3751,20298,[20298-33831],105
39,1230,20298,[20298-33831],103
40,580,27064,[27064-40597],224
41,340,27064,[27064-40597],213
42,3682,27064,[27064-40597],170
43,346,27064,[27064-40597],158
44,1229,27064,[27064-40597],150
45,3930,27064,[27064-40597],127
46,548,27064,[27064-40597],126
47,1218,27064,[27064-40597],124
48,1678,27064,[27064-40597],123
49,3077,27064,[27064-40597],105
50,3930,33830,[33830-47363],234
51,340,33830,[33830-47363],225
52,580,33830,[33830-47363],190
53,3682,33830,[33830-47363],178
54,346,33830,[33830-47363],160
55,3406,33830,[33830-47363],160
56,2279,33830,[33830-47363],146
57,1613,33830,[33830-47363],145
58,1678,33830,[33830-47363],125
59,2359,33830,[33830-47363],118
60,1701,40596,[40596-54129],263
61,3316,40596,[40596-54129],232
62,3885,40596,[40596-54129],170
63,1613,40596,[40596-54129],145
64,2985,40596,[40596-54129],142
65,3406,40596,[40596-54129],139
66,3930,40596,[40596-54129],137
67,11051,40596,[40596-54129],126
68,1638,40596,[40596-54129],120
69,3304,40596,[40596-54129],117
70,3830,47362,[47362-60895],288
71,1701,47362,[47362-60895],253
72,4029,47362,[47362-60895],195
73,3670,47362,[47362-60895],193
74,502,47362,[47362-60895],190
75,3550,47362,[47362-60895],177
76,3316,47362,[47362-60895],165
77,3494,47362,[47362-60895],156
78,2985,47362,[47362-60895],146
79,1638,47362,[47362-60895],146
80,3830,54128,[54128-67661],288
81,3751,54128,[54128-67661],216
82,3670,54128,[54128-67661],199
83,3484,54128,[54128-67661],188
84,3550,54128,[54128-67661],176
85,3494,54128,[54128-67661],162
86,3876,54128,[54128-67661],145
87,3576,54128,[54128-67661],145
88,502,54128,[54128-67661],142
89,3462,54128,[54128-67661],138
